的	〔※※※※☯rqyy☯dí※dì※de※〕
笑	〔※※※※☯ttdu☯xiào※〕
试	〔※※※※☯yaay☯shì※〕
职	〔※※※※☯bkwy☯zhí※〕
氧	〔※※※※☯rnug☯yǎng※〕
阳	〔※※※☯bjg☯yáng※〕
汉	〔※※※☯icy☯hàn※〕
留	〔※※※※☯qyvl☯liú※〕
跟	〔※※※※☯khve☯gēn※〕
修	〔※※※※☯whte☯xiū※〕
巴	〔※※※※☯cnhn☯bā※〕
创	〔※※※※☯wbjh☯chuàng※chuāng※〕
助	〔※※※※☯eget☯zhù※chú※〕
未	〔※※※☯fii☯wèi※〕
犯	〔※※※※☯qtbn☯fàn※〕
初	〔※※※※☯puvt☯chū※〕
功	〔※※※☯aet☯gōng※〕
抗	〔※※※※☯rywn☯kàng※〕
田	〔※※※※☯llll☯tián※〕
坏	〔※※※※☯fdhy☯huài※〕
降	〔※※※※☯btah☯jiàng※xiáng※〕
古	〔※※※※☯dghg☯gǔ※〕
尽	〔※※※※☯nyuu☯jìn※jǐn※〕
互	〔※※※※☯gxgd☯hù※〕
财	〔※※※※☯mftt☯cái※〕
溶	〔※※※※☯ipwk☯róng※〕
病	〔※※※※☯ugmw☯bìng※〕
叶	〔※※※☯kfh☯yè※xié※〕
投	〔※※※※☯rwcy☯tóu※〕
策	〔※※※※☯tgmi☯cè※〕
责	〔※※※☯gmu☯zé※zhài※〕
波	〔※※※※☯ihcy☯bō※〕
令	〔※※※※☯wycu☯líng※lǐng※lìng※〕
独	〔※※※※☯qtjy☯dú※〕
考	〔※※※※☯ftgn☯kǎo※〕
右	〔※※※☯dkf☯yòu※〕
请	〔※※※※☯ygeg☯qǐng※〕
球	〔※※※※☯ggiy☯qiú※〕
让	〔※※※※☯yhgg☯ràng※〕
副	〔※※※※☯gklj☯fù※pì※〕
双	〔※※※☯ccy☯shuāng※〕
检	〔※※※※☯swgg☯jiǎn※〕
宜	〔※※※※☯pegf☯yí※〕
杂	〔※※※☯vsu☯zá※〕
钱	〔※※※※☯qfxy☯qián※〕
述	〔※※※※☯sypi☯shù※〕
限	〔※※※※☯bvey☯xiàn※〕
简	〔※※※※☯tujf☯jiǎn※〕
找	〔※※※☯ray☯zhǎo※〕
冲	〔※※※※☯ukhh☯chōng※chòng※〕
端	〔※※※※☯umdj☯duān※〕
输	〔※※※※☯lwgj☯shū※〕
倒	〔※※※※☯wgcj☯dǎo※dào※〕
养	〔※※※※☯ufwj☯yǎng※〕
敌	〔※※※※☯tdty☯dí※〕
阿	〔※※※※☯bskg☯ā※ē※〕
超	〔※※※※☯fhvk☯chāo※〕
换	〔※※※※☯rqmd☯huàn※〕
州	〔※※※※☯ytyh☯zhōu※〕
胜	〔※※※※☯etgg☯shèng※〕
帝	〔※※※※☯yuph☯dì※〕
依	〔※※※※☯wyey☯yī※〕
坐	〔※※※※☯wwfd☯zuò※〕
纪	〔※※※☯xnn☯jì※jǐ※〕
突	〔※※※※☯pwdy☯tū※〕
念	〔※※※※☯wynn☯niàn※〕
客	〔※※※※☯ptkf☯kè※〕
绝	〔※※※※☯xqcn☯jué※〕
升	〔※※※☯tak☯shēng※〕
陈	〔※※※※☯baiy☯chén※〕
略	〔※※※※☯ltkg☯lüè※〕
益	〔※※※※☯uwlf☯yì※〕
否	〔※※※※☯dhkf☯fǒu※pǐ※〕
罗	〔※※※☯lqu☯luó※〕
仍	〔※※※☯wbt☯réng※〕
吸	〔※※※※☯kbyy☯xī※〕
苦	〔※※※☯adf☯kǔ※〕
错	〔※※※※☯qajg☯cuò※〕
承	〔※※※※☯bdii☯chéng※〕
友	〔※※※☯dcu☯yǒu※〕
草	〔※※※※☯ajfj☯cǎo※〕
夜	〔※※※※☯ywty☯yè※〕
微	〔※※※※☯tmgt☯wēi※〕
优	〔※※※※☯wdny☯yōu※〕
画	〔※※※※☯glbj☯huà※〕
础	〔※※※※☯dbmh☯chǔ※〕
协	〔※※※※☯fewy☯xié※〕
良	〔※※※※☯yvei☯liáng※〕
射	〔※※※※☯tmdf☯shè※yè※yì※〕
曲	〔※※※☯mad☯qū※qǔ※〕
洋	〔※※※※☯iugh☯yáng※〕
村	〔※※※☯sfy☯cūn※〕
矿	〔※※※☯dot☯kuàng※〕
终	〔※※※※☯xtuy☯zhōng※〕
轮	〔※※※※☯lwxn☯lún※〕
块	〔※※※※☯fnwy☯kuài※〕
环	〔※※※※☯gdhy☯huán※〕
析	〔※※※☯srh☯xī※〕
径	〔※※※※☯tcag☯jìng※〕
哪	〔※※※※☯kngb☯nǎ※něi※na※né※〕
烈	〔※※※※☯gqjo☯liè※〕
校	〔※※※※☯sywr☯xiào※jiào※〕
板	〔※※※※☯srcy☯bǎn※〕
云	〔※※※☯fcu☯yún※〕
诉	〔※※※※☯yryy☯sù※〕
既	〔※※※※☯vcaq☯jì※〕
迅	〔※※※※☯nfpk☯xùn※〕
刻	〔※※※※☯yntj☯kè※〕
靠	〔※※※※☯tfkd☯kào※〕
察	〔※※※※☯pwfi☯chá※〕
逐	〔※※※※☯gepi☯zhú※〕
央	〔※※※☯mdi☯yāng※〕
待	〔※※※※☯tffy☯dài※dāi※〕
母	〔※※※※☯xnny☯mǔ※〕
境	〔※※※※☯fujq☯jìng※〕
激	〔※※※※☯iryt☯jī※〕
渤	〔※※※※☯ifpe☯bó※〕
模	〔※※※※☯sajd☯mó※mú※〕
控	〔※※※※☯rpwa☯kòng※〕
卫	〔※※※☯bgd☯wèi※〕
久	〔※※※☯qyi☯jiǔ※〕
印	〔※※※※☯qgbh☯yìn※〕
房	〔※※※※☯ynye☯fáng※〕
停	〔※※※※☯wyks☯tíng※〕
甚	〔※※※※☯adwn☯shèn※shén※〕
皮	〔※※※☯hci☯pí※〕
洲	〔※※※※☯iyth☯zhōu※〕
搞	〔※※※※☯rykk☯gǎo※〕
息	〔※※※※☯thnu☯xī※〕
移	〔※※※※☯tqqy☯yí※〕
旧	〔※※※☯hjg☯jiù※〕
拿	〔※※※※☯wgkr☯ná※〕
若	〔※※※※☯adkf☯ruò※rě※〕
顶	〔※※※※☯sdmy☯dǐng※〕
短	〔※※※※☯tdgu☯duǎn※〕
湖	〔※※※※☯ideg☯hú※〕
括	〔※※※※☯rtdg☯kuò※guā※〕
挥	〔※※※※☯rplh☯huī※〕
侵	〔※※※※☯wvpc☯qīn※〕
甲	〔※※※※☯lhnh☯jiǎ※〕
游	〔※※※※☯iytb☯yóu※〕
语	〔※※※※☯ygkg☯yǔ※yù※〕
冷	〔※※※※☯uwyc☯lěng※〕
普	〔※※※※☯uogj☯pǔ※〕
银	〔※※※※☯qvey☯yín※〕
乐	〔※※※※☯tnii☯lè※yuè※yào※lào※〕
医	〔※※※※☯atdi☯yī※〕
烧	〔※※※※☯oatq☯shāo※〕
刘	〔※※※☯yjh☯liú※〕
吗	〔※※※※☯kcgg☯má※mǎ※ma※〕
针	〔※※※☯qfh☯zhēn※〕
纸	〔※※※※☯xqan☯zhǐ※〕
粉	〔※※※※☯owvt☯fěn※〕
散	〔※※※※☯aety☯sàn※sǎn※〕
急	〔※※※※☯qvnu☯jí※〕
预	〔※※※※☯cnhm☯yù※〕
扩	〔※※※☯rot☯kuò※〕
愿	〔※※※※☯drin☯yuàn※〕
核	〔※※※※☯synw☯hé※hú※〕
吧	〔※※※☯kcn☯bā※ba※〕
龙	〔※※※※☯dxyi☯lóng※〕
误	〔※※※※☯ykgd☯wù※〕
欢	〔※※※※☯cqwy☯huān※〕
孩	〔※※※※☯bynw☯hái※〕
盐	〔※※※※☯fhlf☯yán※〕
善	〔※※※※☯uguk☯shàn※〕
雨	〔※※※※☯fghy☯yǔ※yù※〕
货	〔※※※※☯wxmu☯huò※〕
讨	〔※※※☯yfy☯tǎo※〕
测	〔※※※※☯imjh☯cè※〕
丝	〔※※※※☯xxgf☯sī※〕
室	〔※※※※☯pgcf☯shì※〕
混	〔※※※※☯ijxx☯hùn※hún※〕
弹	〔※※※※☯xulh☯dàn※tán※〕
乎	〔※※※※☯tufk☯hū※〕
鲜	〔※※※※☯qgug☯xiān※xiǎn※〕
晚	〔※※※※☯jqkq☯wǎn※〕
乱	〔※※※※☯tdnn☯luàn※〕
沙	〔※※※※☯iitt☯shā※shà※〕
序	〔※※※※☯ocnh☯xù※〕
缺	〔※※※※☯rmnw☯quē※〕
获	〔※※※※☯aqty☯huò※〕
读	〔※※※※☯yfnd☯dú※dòu※〕
鲁	〔※※※※☯qgjf☯lǔ※〕
载	〔※※※※☯flxy☯zǎi※zài※〕
渐	〔※※※※☯ilrh☯jiàn※jiān※〕
父	〔※※※☯wru☯fù※fǔ※〕
啊	〔※※※※☯kbsk☯ā※á※ǎ※à※a※〕
演	〔※※※※☯ipgw☯yǎn※〕
刚	〔※※※※☯mrjh☯gāng※〕
守	〔※※※☯pfu☯shǒu※〕
宁	〔※※※☯psj☯níng※nìng※zhù※〕
杀	〔※※※☯rsu☯shā※〕
谓	〔※※※※☯yleg☯wèi※〕
刑	〔※※※※☯gajh☯xíng※〕
附	〔※※※※☯bwfy☯fù※〕
担	〔※※※※☯rjgg☯dān※dàn※dǎn※〕
贵	〔※※※※☯khgm☯guì※〕
班	〔※※※※☯gytg☯bān※〕
稳	〔※※※※☯tqvn☯wěn※〕
钢	〔※※※※☯qmry☯gāng※gàng※〕
迫	〔※※※☯rpd☯pò※pǎi※〕
答	〔※※※※☯twgk☯dá※dā※〕
距	〔※※※※☯khan☯jù※〕
药	〔※※※※☯axqy☯yào※〕
假	〔※※※※☯wnhc☯jiǎ※jià※〕
毫	〔※※※※☯ykpn☯háo※〕
兰	〔※※※☯udf☯lán※〕
喜	〔※※※※☯fkuk☯xǐ※〕
练	〔※※※※☯xanw☯liàn※〕
乙	〔※※※※☯nnll☯yǐ※〕
酒	〔※※※※☯isgg☯jiǔ※〕
盾	〔※※※※☯rfhd☯dùn※〕
困	〔※※※☯lsi☯kùn※〕
买	〔※※※※☯nudu☯mǎi※〕
福	〔※※※※☯pygl☯fú※〕
征	〔※※※※☯tghg☯zhēng※〕
阻	〔※※※※☯begg☯zǔ※〕
损	〔※※※※☯rkmy☯sǔn※〕
介	〔※※※☯wjj☯jiè※〕
剂	〔※※※※☯yjjh☯jì※〕
穿	〔※※※※☯pwat☯chuān※〕
钟	〔※※※※☯qkhh☯zhōng※〕
顺	〔※※※※☯kdmy☯shùn※〕
飞	〔※※※☯nui☯fēi※〕
丰	〔※※※☯dhk☯fēng※〕
怕	〔※※※☯nrg☯pà※〕
祖	〔※※※※☯pyeg☯zǔ※〕
矛	〔※※※※☯cnht☯máo※〕
执	〔※※※※☯rvyy☯zhí※〕
星	〔※※※※☯jtgf☯xīng※〕
谁	〔※※※※☯ywyg☯shuí※〕
血	〔※※※☯tld☯xiě※xuè※〕
背	〔※※※※☯uxef☯bèi※bēi※〕
掌	〔※※※※☯ipkr☯zhǎng※〕
脱	〔※※※※☯eukq☯tuō※〕
希	〔※※※※☯rdmh☯xī※〕
评	〔※※※※☯yguf☯píng※〕
沉	〔※※※※☯ipwn☯chén※〕
概	〔※※※※☯svcq☯gài※〕
跑	〔※※※※☯khqn☯pǎo※páo※〕
熟	〔※※※※☯ykbo☯shú※shóu※〕
伤	〔※※※※☯wtet☯shāng※〕
衣	〔※※※☯yeu☯yī※〕
械	〔※※※※☯saah☯xiè※〕
烟	〔※※※※☯oldy☯yān※〕
审	〔※※※※☯pjhj☯shěn※〕
扬	〔※※※※☯rnrt☯yáng※〕
翻	〔※※※※☯toln☯fān※〕
秋	〔※※※☯toy☯qiū※〕
露	〔※※※※☯fkhk☯lòu※lù※〕
慢	〔※※※※☯njlc☯màn※〕
静	〔※※※※☯geqh☯jìng※〕
免	〔※※※※☯qkqb☯miǎn※〕
